variable,importance
Curricular units 2nd sem (approved),0.14514007699497752
Curricular units 2nd sem (grade),0.09963222742598123
Curricular units 1st sem (approved),0.08299327295715762
Curricular units 1st sem (grade),0.07064531841228816
Age at enrollment,0.044317556753046404
Admission grade,0.04428629256674364
Course,0.040993481348586706
Curricular units 2nd sem (evaluations),0.04043574608846957
Previous qualification (grade),0.03813214091859644
Tuition fees up to date,0.035092997209351266
Curricular units 1st sem (evaluations),0.031744274478233726
Father's occupation,0.029950603195022966
Application mode,0.02864964964833211
Mother's occupation,0.026417286316637027
GDP,0.02227144667781879
Unemployment rate,0.022196951308862282
Father's qualification,0.021900445260615235
Scholarship holder,0.019832290649967513
Inflation rate,0.019763890265173573
Mother's qualification,0.01953925391034069
Curricular units 1st sem (enrolled),0.017285203679435177
Curricular units 2nd sem (enrolled),0.016041800746796307
Application order,0.015805778430772705
Gender,0.012757785527928956
Displaced,0.009153310144346798
Curricular units 1st sem (credited),0.006904531620074214
Debtor,0.0066959192600591156
Previous qualification,0.005885346643239391
Curricular units 2nd sem (credited),0.005233567048776576
Curricular units 2nd sem (without evaluations),0.004531619364740101
Curricular units 1st sem (without evaluations),0.004430348120500391
Marital status,0.004300439921948991
Daytime/evening attendance	,0.003185545067800004
Nacionality,0.0016241702371233536
International,0.0012888571843686367
Educational special needs,0.0009405746158868365
